"Run ID","Flow","precision","Hyperparameters"
"2336461","mlr.classif.svm(7)","1","cost:0592671566588,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336494","mlr.classif.svm(7)","1","cost:0125558935429,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336507","mlr.classif.svm(7)","1","cost:713855685255,gamma:0165344460823932,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336514","mlr.classif.svm(7)","1","cost:946785255758,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336519","mlr.classif.svm(7)","1","cost:453411241188,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336529","mlr.classif.svm(7)","1","cost:3991149187851,gamma:282251968447954,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336531","mlr.classif.svm(7)","1","cost:621066233440953,gamma:00027980483071,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336534","mlr.classif.svm(7)","1","cost:2722385402304,gamma:231418944208549,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336547","mlr.classif.svm(7)","1","cost:26622373589,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336553","mlr.classif.svm(7)","1","cost:69788728182,gamma:57595042925869,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336568","mlr.classif.svm(7)","1","cost:890037255323,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336576","mlr.classif.svm(7)","1","cost:93424231407687,gamma:95671588647327,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336583","mlr.classif.svm(7)","1","cost:5522324631673,gamma:972797001188728,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336589","mlr.classif.svm(7)","1","cost:9509864899482,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336647","mlr.classif.svm(7)","1","cost:2667462124995,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336664","mlr.classif.svm(7)","1","cost:1972688962,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336665","mlr.classif.svm(7)","1","cost:771577840023,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336674","mlr.classif.svm(7)","1","cost:2850159340347,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336675","mlr.classif.svm(7)","1","cost:602970494229,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336680","mlr.classif.svm(7)","1","cost:7078614352464,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336687","mlr.classif.svm(7)","1","cost:547686374696,gamma:16418677167035,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336692","mlr.classif.svm(7)","1","cost:903270852859082,gamma:157203670054947,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336693","mlr.classif.svm(7)","1","cost:582988415097662,gamma:10090435510829,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336705","mlr.classif.svm(7)","1","cost:758017701475,gamma:724527990349103,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336733","mlr.classif.svm(7)","1","cost:1999125979697,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336735","mlr.classif.svm(7)","1","cost:916407311137,gamma:0254355842544256,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336755","mlr.classif.svm(7)","1","cost:3133296305813,gamma:723096058970144,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336760","mlr.classif.svm(7)","1","cost:82908885553115,gamma:276181233503602,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336810","mlr.classif.svm(7)","1","cost:725207556466974,gamma:292673460564028,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2336817","mlr.classif.svm(7)","1","cost:892711262644,gamma:025405310419741,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
